customer_id,tenure_months,monthly_charges,total_charges,contract,internet_service,payment_method,tech_support,online_security,senior_citizen,churn
CUST-00087,8,68.28,576.78,Month-to-month,DSL,Bank transfer,No,No,No,No
CUST-00088,23,18.0,442.41,Two year,DSL,Electronic check,No,No,No,No
CUST-00089,56,81.74,4397.84,Month-to-month,Fiber optic,Electronic check,Yes,No,No,No
CUST-00090,60,85.09,4813.34,Month-to-month,DSL,Electronic check,No,No,Yes,Yes
CUST-00091,32,60.97,2002.02,One year,DSL,Mailed check,No,No,No,No
CUST-00092,58,18.0,1046.65,Month-to-month,DSL,Bank transfer,No,No,No,No
CUST-00093,61,43.09,2638.23,Month-to-month,Fiber optic,Mailed check,No,No,Yes,Yes
CUST-00094,28,96.59,2888.26,One year,Fiber optic,Credit card,Yes,Yes,No,Yes
CUST-00095,65,18.0,1192.48,One year,Fiber optic,Bank transfer,No,Yes,No,No
CUST-00096,21,58.66,1194.62,One year,Fiber optic,Credit card,No,No,No,Yes
CUST-00097,18,38.68,685.11,Month-to-month,Fiber optic,Bank transfer,No,No,No,Yes
CUST-00098,50,86.31,4062.44,Month-to-month,Fiber optic,Electronic check,No,No,No,No
CUST-00099,46,50.8,2221.76,Two year,Fiber optic,Credit card,No,No,No,Yes
CUST-00100,11,76.69,795.45,Month-to-month,Fiber optic,Credit card,Yes,No,No,No
CUST-00101,60,80.57,5074.2,Month-to-month,No,Bank transfer,No,Yes,No,Yes
CUST-00102,15,111.07,1720.66,Month-to-month,DSL,Electronic check,No,No,No,Yes
CUST-00103,58,62.13,3621.04,Month-to-month,Fiber optic,Electronic check,No,No,No,Yes
CUST-00104,1,76.03,74.5,Month-to-month,No,Bank transfer,Yes,No,No,No
CUST-00105,58,31.36,1867.92,One year,Fiber optic,Mailed check,No,Yes,No,No
CUST-00106,57,95.57,5720.22,Two year,Fiber optic,Bank transfer,No,Yes,Yes,No
CUST-00107,57,48.75,2948.25,Month-to-month,DSL,Mailed check,No,No,No,No
CUST-00108,48,53.54,2589.25,One year,Fiber optic,Mailed check,No,No,No,No
CUST-00109,34,66.47,2375.65,Month-to-month,Fiber optic,Electronic check,No,No,No,Yes
CUST-00110,51,29.49,1506.71,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,Yes
CUST-00111,20,72.49,1443.89,One year,DSL,Electronic check,Yes,No,No,Yes
CUST-00112,57,90.22,5443.22,Month-to-month,DSL,Credit card,No,No,No,No
CUST-00113,41,74.03,2980.05,Two year,Fiber optic,Bank transfer,Yes,No,No,No
CUST-00114,34,28.87,965.23,Month-to-month,Fiber optic,Credit card,No,No,No,No
CUST-00115,37,64.03,2295.16,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,Yes
CUST-00116,41,84.81,3487.61,Month-to-month,DSL,Bank transfer,Yes,No,No,No
CUST-00117,3,21.93,66.26,Month-to-month,Fiber optic,Mailed check,No,No,No,Yes
CUST-00118,11,41.21,464.95,Two year,No,Credit card,Yes,No,Yes,No
CUST-00119,18,88.04,1567.1,One year,DSL,Credit card,No,Yes,No,No
CUST-00120,9,73.48,631.46,Month-to-month,Fiber optic,Bank transfer,No,No,No,Yes
CUST-00121,32,76.89,2604.9,Month-to-month,DSL,Electronic check,No,No,Yes,No
CUST-00122,49,111.63,5335.09,One year,Fiber optic,Bank transfer,No,No,No,Yes
CUST-00123,48,78.25,4010.17,One year,Fiber optic,Electronic check,No,No,No,Yes
CUST-00124,34,82.79,2683.06,Month-to-month,Fiber optic,Electronic check,No,No,No,No
CUST-00125,62,125.0,7824.47,Month-to-month,DSL,Bank transfer,No,Yes,No,No
CUST-00126,41,61.87,2551.53,Month-to-month,DSL,Credit card,No,No,No,Yes
CUST-00127,6,47.85,302.2,Month-to-month,No,Electronic check,Yes,Yes,No,No
CUST-00128,56,77.27,4077.08,Month-to-month,Fiber optic,Electronic check,No,Yes,No,Yes
CUST-00129,42,77.54,3470.29,Month-to-month,Fiber optic,Credit card,No,Yes,No,Yes
CUST-00130,46,54.36,2513.13,Month-to-month,DSL,Electronic check,No,No,No,No
CUST-00131,41,42.22,1754.87,Month-to-month,Fiber optic,Electronic check,No,Yes,No,No
CUST-00132,40,122.44,4905.57,Month-to-month,Fiber optic,Bank transfer,No,No,No,Yes
CUST-00133,7,74.84,484.99,Two year,No,Credit card,No,No,No,No
CUST-00134,41,49.43,2025.69,One year,DSL,Mailed check,No,Yes,No,No
CUST-00135,58,88.98,4965.59,Month-to-month,No,Bank transfer,No,No,No,No
CUST-00136,22,64.38,1380.71,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes
CUST-00137,44,60.93,2744.88,Month-to-month,Fiber optic,Electronic check,Yes,No,No,No
CUST-00138,3,80.49,241.38,Two year,Fiber optic,Bank transfer,No,No,No,Yes
CUST-00139,26,35.99,874.84,One year,No,Credit card,No,No,No,No
CUST-00140,32,75.46,2249.76,Month-to-month,Fiber optic,Electronic check,No,Yes,No,No
CUST-00141,71,112.91,7613.42,Two year,Fiber optic,Electronic check,No,No,Yes,No
CUST-00142,16,78.19,1189.17,Two year,Fiber optic,Electronic check,No,Yes,No,No
CUST-00143,20,57.97,1179.49,Two year,DSL,Electronic check,Yes,No,No,No
CUST-00144,30,54.83,1560.11,Month-to-month,DSL,Electronic check,Yes,Yes,No,No
CUST-00145,72,57.15,4366.11,Month-to-month,DSL,Electronic check,No,No,No,No
CUST-00146,62,60.9,3600.46,One year,Fiber optic,Credit card,No,No,No,Yes
CUST-00147,3,57.93,162.42,Month-to-month,DSL,Electronic check,Yes,Yes,No,Yes
CUST-00148,17,88.99,1603.78,One year,Fiber optic,Bank transfer,No,Yes,No,No
CUST-00149,60,25.4,1474.09,One year,Fiber optic,Bank transfer,No,Yes,No,No
CUST-00150,5,87.69,433.22,Month-to-month,Fiber optic,Credit card,No,No,No,Yes
CUST-00151,62,57.89,3852.78,Month-to-month,DSL,Credit card,No,No,No,No
CUST-00152,21,76.05,1710.6,Month-to-month,Fiber optic,Mailed check,No,Yes,No,No
CUST-00153,67,39.95,2768.69,Month-to-month,No,Electronic check,No,No,Yes,Yes
CUST-00154,22,98.89,2025.53,One year,DSL,Bank transfer,No,Yes,No,Yes
CUST-00155,32,96.9,3147.11,One year,Fiber optic,Electronic check,No,No,No,Yes
CUST-00156,48,90.03,4659.6,Month-to-month,DSL,Electronic check,Yes,No,No,Yes
CUST-00157,10,30.65,328.42,One year,DSL,Electronic check,No,No,Yes,Yes
CUST-00158,41,86.9,3338.3,Month-to-month,Fiber optic,Credit card,No,No,No,Yes
CUST-00159,37,76.72,2791.39,One year,DSL,Electronic check,Yes,No,No,No
CUST-00160,57,28.47,1574.89,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,No
CUST-00161,72,66.42,4498.92,One year,Fiber optic,Mailed check,Yes,No,Yes,No
CUST-00162,48,75.75,3749.33,One year,DSL,Bank transfer,No,Yes,No,Yes
CUST-00163,30,80.35,2323.28,Month-to-month,DSL,Electronic check,No,Yes,No,No
CUST-00164,30,71.25,2084.44,Month-to-month,Fiber optic,Credit card,No,No,No,Yes
CUST-00165,31,73.99,2143.36,Two year,Fiber optic,Bank transfer,No,No,No,No
CUST-00166,59,102.37,6037.87,Month-to-month,DSL,Mailed check,No,No,No,No
CUST-00167,24,96.42,2187.52,One year,Fiber optic,Mailed check,No,No,No,No
CUST-00168,13,18.0,231.46,Two year,No,Credit card,Yes,No,No,No
CUST-00169,25,59.38,1399.79,Two year,DSL,Bank transfer,No,Yes,No,No
CUST-00170,2,63.05,135.26,Month-to-month,No,Mailed check,No,No,No,Yes
CUST-00171,8,24.95,188.26,One year,Fiber optic,Electronic check,Yes,No,Yes,No
CUST-00172,7,69.26,486.52,Two year,DSL,Electronic check,Yes,Yes,Yes,Yes
CUST-00173,56,96.97,5167.04,One year,Fiber optic,Electronic check,No,No,Yes,No
CUST-00174,53,40.92,2021.76,Month-to-month,Fiber optic,Electronic check,Yes,No,No,No
CUST-00175,51,75.07,3646.21,Month-to-month,Fiber optic,Electronic check,No,No,No,Yes
CUST-00176,34,45.02,1421.64,One year,Fiber optic,Electronic check,Yes,No,Yes,No
CUST-00177,52,50.87,2492.62,Month-to-month,No,Credit card,No,No,No,No
CUST-00178,12,102.46,1228.24,Month-to-month,DSL,Credit card,No,No,Yes,Yes
CUST-00179,65,53.98,3593.93,Month-to-month,DSL,Credit card,No,No,No,No
CUST-00180,37,78.09,2698.56,One year,DSL,Bank transfer,No,No,No,No
CUST-00181,68,22.09,1487.94,Month-to-month,DSL,Bank transfer,Yes,No,No,No
CUST-00182,11,111.7,1244.67,Two year,DSL,Electronic check,No,No,Yes,Yes
CUST-00183,36,81.46,2807.86,One year,DSL,Bank transfer,No,Yes,Yes,No
CUST-00184,51,62.62,3128.25,Two year,DSL,Electronic check,No,No,No,No
CUST-00185,36,80.81,2709.86,Two year,DSL,Mailed check,No,No,No,No
CUST-00186,33,33.16,1045.28,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,Yes
CUST-00187,12,95.38,1138.47,One year,No,Credit card,No,No,No,Yes
CUST-00188,28,59.22,1788.28,Month-to-month,Fiber optic,Electronic check,No,No,No,No
CUST-00189,18,62.1,1206.56,Two year,Fiber optic,Bank transfer,Yes,No,Yes,No
CUST-00190,22,55.2,1307.59,Month-to-month,No,Electronic check,No,No,No,Yes
CUST-00191,50,53.06,2620.35,One year,Fiber optic,Electronic check,Yes,Yes,No,No
CUST-00192,46,83.67,3590.6,Two year,Fiber optic,Electronic check,No,No,No,No
CUST-00193,44,73.14,3127.32,Month-to-month,Fiber optic,Electronic check,No,No,No,Yes
CUST-00194,27,82.64,2137.64,Two year,Fiber optic,Bank transfer,No,Yes,No,Yes
CUST-00195,70,66.79,4311.84,Month-to-month,No,Mailed check,Yes,Yes,No,No
CUST-00196,7,79.32,519.28,Month-to-month,No,Electronic check,Yes,No,No,Yes
CUST-00197,25,56.95,1413.09,Month-to-month,DSL,Credit card,No,No,No,No
CUST-00198,9,120.51,1056.77,Month-to-month,No,Bank transfer,Yes,No,No,Yes
CUST-00199,25,29.37,696.7,One year,DSL,Mailed check,No,Yes,No,No
CUST-00200,70,97.26,7043.6,Two year,No,Mailed check,No,No,Yes,No
CUST-00201,27,99.83,2633.79,Month-to-month,Fiber optic,Mailed check,No,Yes,No,Yes
CUST-00202,66,46.55,3245.27,One year,DSL,Mailed check,No,Yes,No,No
CUST-00203,36,120.5,4158.22,Two year,Fiber optic,Bank transfer,Yes,No,No,No
CUST-00204,51,90.89,4663.87,One year,Fiber optic,Credit card,Yes,No,No,Yes
CUST-00205,33,90.31,2829.62,Month-to-month,DSL,Electronic check,No,No,No,No
CUST-00206,20,67.67,1352.38,Two year,Fiber optic,Mailed check,No,Yes,No,No
CUST-00207,56,61.79,3267.83,Month-to-month,DSL,Electronic check,No,Yes,No,Yes
CUST-00208,70,61.97,4103.01,One year,DSL,Credit card,No,No,Yes,Yes
CUST-00209,19,76.37,1477.08,One year,Fiber optic,Electronic check,No,Yes,No,No
CUST-00210,57,100.63,5519.13,One year,Fiber optic,Electronic check,No,Yes,Yes,No
CUST-00211,19,71.35,1284.59,Month-to-month,DSL,Credit card,No,Yes,No,Yes
CUST-00212,52,45.13,2508.13,Month-to-month,No,Bank transfer,No,No,No,No
CUST-00213,57,86.79,4585.31,One year,Fiber optic,Electronic check,No,No,No,Yes
CUST-00214,33,89.11,2971.28,Month-to-month,No,Electronic check,No,Yes,No,Yes
CUST-00215,54,82.71,4500.83,Month-to-month,No,Mailed check,No,No,No,No
CUST-00216,20,84.89,1630.05,One year,DSL,Credit card,No,No,No,No
CUST-00217,6,60.5,360.26,One year,Fiber optic,Mailed check,Yes,No,No,Yes
CUST-00218,7,44.7,292.26,Month-to-month,DSL,Electronic check,No,No,No,Yes
CUST-00219,33,46.16,1577.21,Month-to-month,DSL,Bank transfer,No,No,No,Yes
CUST-00220,65,27.75,1723.43,Two year,Fiber optic,Mailed check,No,No,No,No
CUST-00221,10,72.69,691.24,Month-to-month,No,Electronic check,Yes,Yes,No,No
CUST-00222,33,65.0,2081.47,Month-to-month,No,Credit card,No,No,No,No
CUST-00223,51,56.44,3063.75,Month-to-month,DSL,Electronic check,No,Yes,No,Yes
CUST-00224,15,18.0,282.81,Month-to-month,DSL,Credit card,No,No,No,No
CUST-00225,52,37.06,2064.91,Two year,DSL,Credit card,No,No,No,No
CUST-00226,23,93.9,2212.21,Month-to-month,DSL,Electronic check,No,Yes,Yes,Yes
CUST-00227,59,51.05,3090.46,Month-to-month,DSL,Bank transfer,No,Yes,No,No
CUST-00228,42,75.65,3167.15,Month-to-month,Fiber optic,Credit card,No,Yes,Yes,Yes
CUST-00229,40,33.62,1431.98,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,No
CUST-00230,13,101.53,1322.19,Month-to-month,Fiber optic,Bank transfer,No,No,No,Yes
CUST-00231,34,63.54,2110.26,Two year,No,Electronic check,No,Yes,No,No
CUST-00232,62,73.96,4688.51,One year,Fiber optic,Electronic check,Yes,No,No,No
CUST-00233,2,122.82,247.45,Month-to-month,No,Bank transfer,No,No,No,Yes
CUST-00234,55,103.39,5344.37,Month-to-month,DSL,Electronic check,No,Yes,No,Yes
CUST-00235,36,59.64,2110.19,Month-to-month,Fiber optic,Electronic check,No,Yes,No,Yes
CUST-00236,52,52.76,2661.58,Month-to-month,No,Mailed check,No,No,No,No
CUST-00237,48,59.19,2998.78,One year,DSL,Electronic check,Yes,No,Yes,No
CUST-00238,32,79.24,2486.53,Month-to-month,Fiber optic,Credit card,No,No,No,No
CUST-00239,23,64.47,1559.1,One year,Fiber optic,Credit card,Yes,Yes,No,No
CUST-00240,46,57.51,2621.08,Two year,Fiber optic,Credit card,No,No,No,No
CUST-00241,11,102.21,1169.91,Month-to-month,Fiber optic,Electronic check,No,No,No,Yes
CUST-00242,43,64.26,2601.93,Two year,Fiber optic,Mailed check,No,No,No,No
CUST-00243,7,122.19,913.44,Month-to-month,DSL,Credit card,No,No,No,Yes
CUST-00244,47,69.18,3241.35,Month-to-month,Fiber optic,Mailed check,No,No,No,No
CUST-00245,46,109.85,4858.9,Two year,Fiber optic,Bank transfer,Yes,No,No,Yes
CUST-00246,7,75.58,507.18,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,No
CUST-00247,55,90.11,4769.76,Month-to-month,Fiber optic,Electronic check,No,No,No,No
CUST-00248,30,49.61,1456.56,One year,No,Electronic check,No,Yes,No,No
CUST-00249,57,46.51,2743.34,Month-to-month,Fiber optic,Bank transfer,Yes,No,No,No
CUST-00250,3,78.03,250.93,Two year,Fiber optic,Electronic check,Yes,Yes,No,No
CUST-00251,13,90.73,1211.39,Month-to-month,DSL,Credit card,No,No,No,Yes
CUST-00252,36,67.97,2465.39,Two year,No,Bank transfer,No,No,No,No
CUST-00253,14,36.13,501.66,Month-to-month,DSL,Electronic check,No,No,No,No
CUST-00254,24,34.35,867.69,Month-to-month,No,Bank transfer,No,No,Yes,Yes
CUST-00255,48,32.75,1659.95,Month-to-month,No,Mailed check,Yes,Yes,No,No
CUST-00256,11,24.58,261.43,Two year,DSL,Electronic check,No,Yes,No,No
CUST-00257,49,69.63,3659.39,Month-to-month,No,Credit card,No,No,No,Yes
CUST-00258,8,94.0,739.38,Two year,Fiber optic,Bank transfer,Yes,Yes,No,Yes
CUST-00259,13,66.68,908.46,Month-to-month,No,Bank transfer,Yes,Yes,No,No
CUST-00260,43,18.0,831.81,Month-to-month,No,Credit card,Yes,No,No,Yes
CUST-00261,58,62.42,3738.33,Month-to-month,No,Bank transfer,Yes,No,No,No
CUST-00262,13,63.09,775.76,Month-to-month,DSL,Mailed check,No,Yes,No,Yes
CUST-00263,22,117.3,2616.17,Two year,DSL,Electronic check,No,No,No,No
CUST-00264,67,32.03,2015.11,Month-to-month,Fiber optic,Electronic check,No,No,No,Yes
CUST-00265,72,57.62,4340.57,One year,DSL,Mailed check,No,No,No,No
CUST-00266,42,107.94,4374.86,One year,Fiber optic,Mailed check,No,Yes,No,No
CUST-00267,33,77.8,2647.59,Month-to-month,DSL,Bank transfer,No,No,No,Yes
CUST-00268,25,80.52,2145.08,One year,DSL,Mailed check,No,No,No,No
CUST-00269,45,69.75,2978.55,Two year,Fiber optic,Bank transfer,No,Yes,No,No
CUST-00270,43,74.92,3166.33,One year,Fiber optic,Credit card,No,No,No,No
CUST-00271,22,85.66,1928.88,Month-to-month,Fiber optic,Credit card,No,No,No,Yes
CUST-00272,2,47.57,93.92,One year,DSL,Electronic check,No,No,No,Yes
CUST-00273,11,88.07,918.37,One year,DSL,Credit card,No,Yes,No,Yes
CUST-00274,70,34.05,2203.91,Month-to-month,DSL,Credit card,No,No,Yes,No
CUST-00275,31,74.88,2286.59,One year,Fiber optic,Electronic check,No,No,Yes,No
CUST-00276,35,71.29,2554.72,Month-to-month,DSL,Electronic check,Yes,Yes,No,No
CUST-00277,34,52.21,1796.15,One year,DSL,Electronic check,No,Yes,No,Yes
CUST-00278,57,66.46,3579.86,Two year,Fiber optic,Bank transfer,No,No,Yes,Yes
CUST-00279,5,52.06,258.25,Two year,Fiber optic,Bank transfer,No,Yes,No,Yes
CUST-00280,6,41.28,242.51,Two year,DSL,Mailed check,No,No,No,Yes
CUST-00281,20,58.51,1127.92,One year,Fiber optic,Bank transfer,Yes,No,No,No
CUST-00282,36,40.5,1511.48,One year,Fiber optic,Electronic check,Yes,Yes,No,Yes
CUST-00283,49,74.75,3551.2,Month-to-month,Fiber optic,Mailed check,No,No,No,No
CUST-00284,36,39.4,1427.51,Month-to-month,Fiber optic,Credit card,No,No,No,Yes
CUST-00285,32,84.09,2873.09,Month-to-month,Fiber optic,Credit card,Yes,Yes,No,No
CUST-00286,68,38.64,2644.03,Month-to-month,Fiber optic,Credit card,Yes,No,No,No
CUST-00287,12,53.41,652.92,Two year,DSL,Electronic check,Yes,No,No,Yes
CUST-00288,42,52.01,2035.27,Two year,DSL,Electronic check,No,No,No,No
CUST-00289,40,98.8,3748.48,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes
CUST-00290,35,74.93,2455.11,Month-to-month,DSL,Mailed check,No,No,No,No
CUST-00291,59,61.92,3808.07,One year,DSL,Electronic check,No,No,No,No
CUST-00292,20,78.97,1664.29,Month-to-month,Fiber optic,Credit card,No,Yes,Yes,No
CUST-00293,69,18.0,1179.69,Two year,Fiber optic,Bank transfer,No,Yes,No,No
CUST-00294,24,65.96,1511.94,Two year,Fiber optic,Mailed check,Yes,No,No,Yes
CUST-00295,40,114.94,4467.55,Month-to-month,DSL,Electronic check,No,No,No,Yes
CUST-00296,38,70.18,2705.7,Month-to-month,DSL,Mailed check,No,No,No,No
CUST-00297,62,68.63,4337.98,Month-to-month,Fiber optic,Mailed check,Yes,Yes,No,No
CUST-00298,32,80.16,2641.77,Month-to-month,DSL,Bank transfer,No,No,Yes,Yes
CUST-00299,21,88.49,1978.76,Month-to-month,No,Electronic check,No,No,No,Yes
CUST-00300,2,19.06,36.87,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,No
CUST-00301,27,26.62,737.0,Month-to-month,DSL,Electronic check,Yes,Yes,No,Yes
CUST-00302,60,72.05,4364.31,Month-to-month,DSL,Electronic check,No,Yes,No,Yes
CUST-00303,1,49.84,48.29,Month-to-month,DSL,Credit card,No,Yes,No,No
CUST-00304,65,98.49,6819.16,One year,DSL,Electronic check,No,No,Yes,No
CUST-00305,40,59.44,2223.72,Month-to-month,DSL,Electronic check,Yes,Yes,Yes,Yes
CUST-00306,11,20.57,233.95,Two year,Fiber optic,Bank transfer,No,No,No,Yes
CUST-00307,22,36.57,833.87,Month-to-month,Fiber optic,Mailed check,Yes,Yes,No,No
CUST-00308,40,18.0,767.85,Month-to-month,DSL,Electronic check,No,Yes,No,No
CUST-00309,23,61.38,1415.94,Month-to-month,Fiber optic,Electronic check,No,No,No,Yes
CUST-00310,8,62.48,485.57,One year,No,Electronic check,No,No,Yes,No
CUST-00311,48,56.81,2869.87,Month-to-month,Fiber optic,Mailed check,No,No,No,Yes
CUST-00312,49,92.89,4748.83,Month-to-month,DSL,Electronic check,No,Yes,No,Yes
